ID,Name,SamplingDay,SamplingDay2,Date,SampleType,SampleType2
TR08_B05,TR08_B05,02,TR08,8/26/21,Bloom,Bloom05
TR09_B05,TR09_B05,03,TR09,8/27/21,Bloom,Bloom05
TR10_B05,TR10_B05,04,TR10,8/28/21,Bloom,Bloom05
TR11_B05,TR11_B05,05,TR11,8/29/21,Bloom,Bloom05
TR12_B05,TR12_B05,06,TR12,8/30/21,Bloom,Bloom05
TR13_B05,TR13_B05,07,TR13,8/31/21,Bloom,Bloom05
TR14_B05,TR14_B05,08,TR14,9/1/21,Bloom,Bloom05
TR15_B05,TR15_B05,09,TR15,9/10/21,Bloom,Bloom05
