Domain,Phylum,Class,Order,Family,Genus,MergedBinID,Accession,TR07_B01,TR08_B01,TR09_B01,TR10_B01,TR08_B05,TR09_B05,TR10_B05,TR11_B05,TR12_B05,TR13_B05,TR14_B05,TR15_B05,TR16_B05,TR17_B05_MW,TR12_M01,TR13_M01,TR14_M01,TR16_M01,TR17_M01,TR17_M01_DG,TR17_M01_LG,TR06_PB,TR12_W_P,TR13_W_P,White,TR07_B01_sup,TR08_B01_sup,TR09_B01_sup,TR10_B01_sup,TR08_B05_sup,TR09_B05_sup,TR10_B05_sup,TR11_B05_sup,TR13_B05_sup,TR14_B05_sup,TR16_B05_sup,TR17_B05_sup
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Acidaminobacteraceae,Acidaminobacteraceae_JAFGAC01,MA25;BA45,BA45_PJPLKHLO_01495,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,BB301,BB301_KKHHPJLL_02275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,BB301,BB301_KKHHPJLL_00809,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineae_4572-78,Anaerolineae_4572-78,BA188,BA188_AIEJIIMH_00495,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineae_4572-78,Anaerolineae_4572-78,BA188,BA188_AIEJIIMH_00074,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineae_4572-78,Anaerolineae_4572-78,BA188,BA188_AIEJIIMH_00885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Anderseniella,WC21;BC134,BC134_ILAJDOJA_01744,63,0,0,0,24,26,0,0,0,0,0,0,0,25,0,30,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Anderseniella,WC21,WC21_CLMEEDPB_02286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Aestuariivirgaceae,Anderseniella,WC21,WC21_CLMEEDPB_03105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,BC299,BC299_FIDLCCJI_00257,49,73,33,50,25,19,23,0,0,0,0,21,0,30,45,0,54,0,0,42,40,35,38,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,BC299,BC299_FIDLCCJI_00013,0,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,BC299,BC299_FIDLCCJI_00413,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,BC299,BC299_FIDLCCJI_00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,BC93,BC93_EBINLPGA_00501,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,BC93,BC93_EBINLPGA_00940,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,BC93,BC93_EBINLPGA_00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,BC93,BC93_EBINLPGA_00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,BC93,BC93_EBINLPGA_00873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,BC93,BC93_EBINLPGA_00492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae,WU;BC93,BC93_EBINLPGA_01064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae;ArcobacteraceaeJAIOSF01,BC93;AA08,BC93_EBINLPGA_00751,7,0,3,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae;ArcobacteraceaeJAIOSF01,BC93;AA08,BC93_EBINLPGA_00752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacteraceae;ArcobacteraceaeJAIOSF01,BC93;AA08;BU,BC93_EBINLPGA_00618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01350,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00453,18,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00967,10,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00309,58,2,12,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,35,0,6,0,0,3,0,0,0,0,0,13
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00630,78,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00974,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00970,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_01361,52,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00825,36,0,20,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00924,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00472,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,ArcobacteraceaeJAIOSF01,AA08,AA08_NCOJDKKD_00308,14,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
